Name,Date,Location,Type,Region,URL,Latitude,Longitude,Weather
BAS,3/17/2024,Neumos,Music,Capitol Hill / Central District,,47.613954,-122.3196108,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Brad Parsons,3/17/2024,High Dive,Music,Fremont / Ballard,,41.7111511,-93.631911,"A slight chance of rain before 5pm. Mostly cloudy, with a high near 40. North wind around 20 mph, with gusts as high as 28 mph. Chance of precipitation is 20%."
Journeys,3/17/2024,Town Hall Seattle,Music,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Rylan Fischer,3/17/2024,Sunset Tavern,Music,Fremont / Ballard,,36.0254577,-114.9637699,"Sunny, with a high near 66. North northeast wind 10 to 14 mph, with gusts as high as 21 mph."
Umphrey’s McGee,3/17/2024,The Showbox,Music,Downtown,,47.6085136,-122.3394726,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
’68,3/18/2024,Funhouse,Music,Capitol Hill / Central District,,43.6576535,-72.2840663,"Mostly sunny, with a high near 52. East wind around 3 mph."
Clarence Moriwaki,3/18/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Jimmy Chamberlin Complex,3/18/2024,Neumos,Music,Capitol Hill / Central District,,47.613954,-122.3196108,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Seattle Kraken vs. Buffalo Sabres,3/18/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. South wind around 5 mph."
Taste Washington: No Frills,3/18/2024,"Seattle, WA",Festivals & Special Events,Downtown,,47.6038321,-122.330062,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Ana Tijoux,3/19/2024,The Crocodile,Music,Downtown,,47.6146474,-122.3490734,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. South wind around 5 mph."
Brad Gooch: The Life and Line of Keith Haring,3/19/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Darkest Hour,3/19/2024,El Corazon,Music,Downtown,,-5.2464353,-78.9699948,Failed to retrieve weather data. Status code: 404
Dragontail Peak,3/19/2024,High Dive,Music,Fremont / Ballard,,41.7111511,-93.631911,"A slight chance of rain before 5pm. Mostly cloudy, with a high near 40. North wind around 20 mph, with gusts as high as 28 mph. Chance of precipitation is 20%."
El Perro del Mar,3/19/2024,Barboza,Music,Capitol Hill / Central District,,-13.248885,-41.0275842,Failed to retrieve weather data. Status code: 404
Letterkenny,3/19/2024,Showbox SoDo,Theatre,Pioneer Square,,47.5880461,-122.333928,"Mostly cloudy. High near 55, with temperatures falling to around 53 in the afternoon. Southwest wind around 5 mph."
